experiment,arm_id,phrase,family,family_name,decision,primary_vs_A,primary_ci_low_vs_A,primary_ci_high_vs_A,primary_vs_B,primary_vs_D,objective_vs_A,objective_vs_B,objective_vs_D,holm_p_vs_A,bh_q_vs_A,consistency_vs_A,pairwise_win_rate_vs_A,best_task_family,worst_task_family,mean_response_words,generations
002,T06,Check every number and every claim before you finish.,F2,Explicit effort instruction,Neutral,0.016666666666666666,-0.08333333333333333,0.11666666666666665,0.08333333333333333,0.16666666666666666,0.01167,-0.008865716666666669,0.003869066666666661,1.0,1.0,0.6666666666666666,0.5121951219512195,critique,planning,347.9,60
002,T14,This one is harder than it looks. Prove me wrong.,F5,Challenge / competition,Neutral,-0.016666666666666666,-0.09999999999999999,0.08333333333333333,0.05,0.13333333333333333,0.0175992,-0.002936516666666668,0.009798266666666663,1.0,1.0,0.75,0.7333333333333333,writing,planning,412.5,60
002,T02,May the odds be ever in your favour.,F1,Cinematic motivation,Neutral,-0.016666666666666666,-0.13333333333333333,0.1,0.05,0.13333333333333336,0.014424633333333334,-0.006111083333333336,0.006623699999999994,1.0,1.0,0.5,0.5135135135135135,planning,writing,305.96666666666664,60
002,T01,May the Force be with you.,F1,Cinematic motivation,Neutral,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,0.03333333333333334,0.11666666666666665,0.016249999999999997,-0.0042857166666666665,0.008449066666666666,1.0,1.0,0.6666666666666666,0.4411764705882353,critique,writing,296.9166666666667,60
002,T03,This is your moment. Make it legendary.,F1,Cinematic motivation,Neutral,-0.03333333333333333,-0.08333333333333333,0.0,0.033333333333333326,0.11666666666666665,-0.013488766666666666,-0.034024483333333334,-0.0212897,1.0,1.0,1.0,0.5405405405405406,critique,planning,317.76666666666665,60
002,T22,We are in this together. Let us get it right.,F8,Social / team framing,Neutral,-0.03333333333333334,-0.13333333333333333,0.06666666666666667,0.033333333333333326,0.11666666666666667,-0.0059589833333333325,-0.026494699999999993,-0.013759916666666667,1.0,1.0,0.75,0.5365853658536586,writing,planning,322.6166666666667,60
002,T04,Today we write history. Leave nothing on the field.,F1,Cinematic motivation,Neutral,-0.05,-0.16666666666666669,0.03333333333333333,0.01666666666666667,0.09999999999999999,0.016041666666666666,-0.004494050000000001,0.00824073333333333,1.0,1.0,0.6666666666666666,0.38235294117647056,critique,planning,304.5833333333333,60
002,T15,Beat the best answer anyone has given to this.,F5,Challenge / competition,Neutral,-0.05,-0.18333333333333332,0.06666666666666667,0.01666666666666667,0.1,0.010115733333333335,-0.010419983333333334,0.0023148000000000014,1.0,1.0,0.75,0.7209302325581395,critique,planning,387.3333333333333,60
002,T12,I have complete confidence in your judgement here.,F4,Trust / confidence,Neutral,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,5.551115123125783e-18,0.08333333333333333,0.024791666666666667,0.00425595,0.016990733333333334,0.375,0.9285714285714286,1.0,0.4186046511627907,critique,reasoning,298.73333333333335,60
002,T23,You are part of the team on this one.,F8,Social / team framing,Neutral,-0.06666666666666667,-0.2333333333333333,0.06666666666666667,5.551115123125783e-18,0.08333333333333333,0.00926588333333333,-0.011269833333333333,0.001464949999999999,1.0,1.0,0.75,0.5384615384615384,critique,reasoning,308.0,60
002,T17,My job depends on this being correct.,F6,High stakes framing,Neutral,-0.06666666666666667,-0.23333333333333334,0.08333333333333333,5.551115123125783e-18,0.08333333333333334,0.0002678499999999986,-0.02026786666666667,-0.007533083333333334,1.0,1.0,0.6666666666666666,0.4358974358974359,critique,reasoning,315.1,60
002,T08,Thank you for this. It genuinely makes my day easier.,F3,Appreciation / affection,Neutral,-0.08333333333333333,-0.2666666666666666,0.06666666666666667,-0.016666666666666663,0.06666666666666667,0.006180549999999998,-0.014355166666666669,-0.0016203833333333355,1.0,1.0,0.75,0.3191489361702128,critique,reasoning,300.5833333333333,60
002,T16,This is going into production tomorrow and everything depends on it being right.,F6,High stakes framing,Neutral,-0.08333333333333334,-0.19999999999999998,0.016666666666666666,-0.01666666666666667,0.06666666666666667,0.011210333333333333,-0.009325383333333334,0.0034093999999999973,0.75,0.9285714285714286,0.8,0.4358974358974359,critique,reasoning,332.3833333333333,60
